Country,year,file type,language,age,all age,sex,Proportion of people with zero risk factors (%),Proportion of people with 1-2 risk factors (%),Proportion of people with 3+ risk factors (%),Check sum (country report),Proportion of people with high CVD risk (>30%),Proportion of people with at least 1 risk factor,Proportion of people with two or more risk factors,Proportion of people with 1 risk factor,Proportion of people with 2 risk factors,Proportion of people with 3 risk factors,link,data entry,notes
Botswana,2007,country report,English,25-44,0,male,2.3,79.1,18.6,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_STEPS_Report_Botswana.pdf?ua=1,Sarah Pickersgill,
Botswana,2007,country report,English,45-64,0,male,1.1,63.7,35.2,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_STEPS_Report_Botswana.pdf?ua=1,Sarah Pickersgill,
Botswana,2007,country report,English,25-64,1,male,1.9,74,24.1,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_STEPS_Report_Botswana.pdf?ua=1,Sarah Pickersgill,
Botswana,2007,country report,English,25-44,0,female,0.7,67.2,32,99.9,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_STEPS_Report_Botswana.pdf?ua=1,Sarah Pickersgill,"This sum doesn't add to 100, but I double checked the data and it appears to just be a rounding error."
Botswana,2007,country report,English,45-64,0,female,0.2,38,61.8,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_STEPS_Report_Botswana.pdf?ua=1,Sarah Pickersgill,
Botswana,2007,country report,English,25-64,1,female,0.5,56.3,43.2,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_STEPS_Report_Botswana.pdf?ua=1,Sarah Pickersgill,
Botswana,2007,country report,English,25-44,0,both,1.5,72.8,25.7,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_STEPS_Report_Botswana.pdf?ua=1,Sarah Pickersgill,
Botswana,2007,country report,English,45-64,0,both,0.6,49,50.4,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_STEPS_Report_Botswana.pdf?ua=1,Sarah Pickersgill,
Botswana,2007,country report,English,25-64,1,both,1.2,64.4,34.5,100.1,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_STEPS_Report_Botswana.pdf?ua=1,Sarah Pickersgill,"This sum doesn't add to 100, but I double checked the data and it appears to just be a rounding error."
Botswana,2007,fact sheet,English,25-44,0,both,NA,NA,25.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Botswana_FactSheet.pdf?ua=1,Sarah Pickersgilll,
Botswana,2007,fact sheet,English,45-64,0,both,NA,NA,50.4,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Botswana_FactSheet.pdf?ua=1,Sarah Pickersgilll,
Botswana,2007,fact sheet,English,25-64,1,both,1.2,NA,34.5,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Botswana_FactSheet.pdf?ua=1,Sarah Pickersgilll,
Botswana,2007,fact sheet,English,25-44,0,male,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Botswana_FactSheet.pdf?ua=1,Sarah Pickersgilll,
Botswana,2007,fact sheet,English,45-64,0,male,NA,NA,35.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Botswana_FactSheet.pdf?ua=1,Sarah Pickersgilll,
Botswana,2007,fact sheet,English,25-64,1,male,1.9,NA,24.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Botswana_FactSheet.pdf?ua=1,Sarah Pickersgilll,
Botswana,2007,fact sheet,English,25-44,0,female,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Botswana_FactSheet.pdf?ua=1,Sarah Pickersgilll,
Botswana,2007,fact sheet,English,45-64,0,female,NA,NA,61.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Botswana_FactSheet.pdf?ua=1,Sarah Pickersgilll,
Botswana,2007,fact sheet,English,25-64,1,female,0.5,NA,43.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Botswana_FactSheet.pdf?ua=1,Sarah Pickersgilll,
Cape Verde,2007,fact sheet,English,25-64,1,both,5,NA,24.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Cape_Verde_FactSheet_EN.pdf?ua=1,Wendy Wang,
Cape Verde,2007,fact sheet,English,25-64,1,male,5.6,NA,23.1,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Cape_Verde_FactSheet_EN.pdf?ua=1,Wendy Wang,
Cape Verde,2007,fact sheet,English,25-64,1,female,4.4,NA,26.6,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Cape_Verde_FactSheet_EN.pdf?ua=1,Wendy Wang,
Cape Verde,2007,fact sheet,English,25-44,0,both,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Cape_Verde_FactSheet_EN.pdf?ua=1 ,Wendy Wang,
Cape Verde,2007,fact sheet,English,25-44,0,male,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Cape_Verde_FactSheet_EN.pdf?ua=1,Wendy Wang,
Cape Verde,2007,fact sheet,English,25-44,0,female,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Cape_Verde_FactSheet_EN.pdf?ua=1,Wendy Wang,
Cape Verde,2007,fact sheet,English,45-64,0,both,NA,NA,41.8,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Cape_Verde_FactSheet_EN.pdf?ua=1,Wendy Wang,
Cape Verde,2007,fact sheet,English,45-64,0,male,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Cape_Verde_FactSheet_EN.pdf?ua=1,Wendy Wang,
Cape Verde,2007,fact sheet,English,45-64,0,female,NA,NA,45.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2007_Cape_Verde_FactSheet_EN.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,country report,French,25-44,0,male,2.4,83.9,13.7,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_Report.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,country report,French,45-64,0,male,1.7,78.6,19.7,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_Report.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,country report,French,25-64,1,male,2.2,82.1,15.8,100.1,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_Report.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,country report,French,25-44,0,female,3.5,88.3,8.2,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_Report.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,country report,French,45-64,0,female,2.3,82.5,15.2,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_Report.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,country report,French,25-64,1,female,3.1,86.7,10.2,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_Report.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,country report,French,25-44,0,both,3,86.3,10.7,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_Report.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,country report,French,45-64,0,both,2,80.4,17.6,100,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_Report.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,country report,French,25-64,1,both,2.7,84.5,12.9,100.1,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_Report.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,fact sheet,French,25-64,1,both,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_FactSheet.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,fact sheet,French,25-64,1,male,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_FactSheet.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,fact sheet,French,25-64,1,female,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_FactSheet.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,fact sheet,French,25-44,0,both,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_FactSheet.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,fact sheet,French,25-44,0,male,NA,NA,13.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_FactSheet.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,fact sheet,French,25-44,0,female,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_FactSheet.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,fact sheet,French,45-64,0,both,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_FactSheet.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,fact sheet,French,45-64,0,male,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_FactSheet.pdf?ua=1,Wendy Wang,
Burkina Faso,2013,fact sheet,French,45-64,0,female,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/BurkinaFaso_2013_STEPS_FactSheet.pdf?ua=1,Wendy Wang,
Central African Republic,2010,fact sheet,French,25-64,1,both,12.7,NA,17.7,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2010_FactSheet_RCA_FR.pdf?ua=1,Wendy Wang,
Central African Republic,2010,fact sheet,French,25-64,1,male,11.7,NA,17.3,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/ncds/surveillance/steps/2010_FactSheet_RCA_FR.pdf?ua=1,Wendy Wang,
